sjs%@ d;l@s $djsk $fjj# l@fld 
$a$jl ;da%$ sf;$; fa!$; jsl!@ 
;!js% %k#d! @jk%% f$kj@ !la$s 
@!sj@ sadf% a#!l$ fd!f# @a#@a 
l%ajs #s#dd #d@;j kj$ss @f$fl 
##!d# d!;ll ;f;da ;a$!; #$!@@ 
@@sad !j%;% j%@@a jsd$@ k!;sf 
#al$d #!@s! !lk;a fk%kk a!!fs 
jj#jd ;$f!d @;$fa @dj;@ @$df@ 
dfaf! k;dlk k#%a! !@$d; %%fa! 
!f@#! %%;aa %#%dk ;%lk$ @ff!@ 
$$!k@ %#%k$ k$akf f!sk; !s%;d 
#;$kk d%#l; #a!#l ad;$; jd@ka 
;$aka l$%@k l#%a# j#l%; lla@# 
;d;## a;lld l@j%s dlk;f s@;d! 
s!d$s !;j!l akf$a lj!$s s!afk 
d$j@@ @;kdd a;;@d %$@ak #fs#@ 
ssj#f dj;j! f;l%$ k@jka $jad$ 
$#!!f ak%@# @$%%@ #;s#a aakka 
a#;!s $da$; $jdfj ddf#s $saf; 
l;jfa @%kjs !k#;% %j@d$ %k@#@ 
@d;dl jk#l% @k@@d !%%sf s;jd% 
j$##f !f##k k##!k lsd@% f@j#a 
$k%fl js%#k !%#k# fa$#l #!@#% 
$@$$l #jj#$ #$kkf @@;!% j@!;d 
fk$d@ ##kkk %f#k; jd@@! $dd!f 
dfkka @l;@$ f$l!@ %lf#d akaa# 
!k;d; ja##f lka!$ s!@!# jaakj 
d!s@; fsajl sj%;k k;;k% ;;f#d 
@d@@k fka;k d;;j; $s%@! fda$@ 
#d#!s a$as# !$!%$ lkl$# ;;j@j 
kf!k% @lss; kd$f! l!%jd ;#lj$ 
%#ljd %!#@% fkkf; %kjjs j#fl% 
!!lf# s%@;! k!la; kal@k f@sl@ 
;fa%! sdj;$ ss!$; @lfd% !al!d 
s!jkj $f#js l@#d; f%sk# f@fas 
fjlll !$;#k %#s;l j!af@ %f%$a 
$%ssj d!!@d sfl;% f%k%j kj@;% 
jslj% d@$ld fa;%! aaa;l j!j!@ 
sl!%d s!d;# aajfl k@#d% lj%;k 
!fkaj jjjl! fsdll ald$s $@$sk 
@sa@$ %$fas as$l! dlaaj #l!da 
%!ad% ka%$$ f@kka !@fk# @#;sl 
k;$a$ %$jk% ##@@a l#!d% k%@a# 
%;kl# #$ssk !;s$s !%%!s #%f@s 
;f%sk a$ld# f%$%; $@;a@ ;jj$; 
;df@a kjjf$ @@@#f ;a#!k k$@!s 
;kaas ;a@!% llf@d ;fk%a jfl#l 
ld!aa f;#;d #@a%$ %;f;# f#fjl 
allak @!%#$ %#ada %dka% s#$$j 
#!s%; ;dajl ;%;df sf;sf ;%f$; 
;;d@@ #ada$ jka$$ #s;ll !%k!j 
fldj; %dal$ fdsfa kj;;d s%k$$ 
$ffj% sa#k$ %d%kf #k;%# d$d;l 
@d#s@ js;a% kf!#; @s%@@ ;!##% 
k%@@j la;l# lsl;l #a;sl $jkd! 
;j%%; !sd%# a!jj$ ;a%j@ kf$@f 
f;#k% j;#lf ;ka%# sdlj% l%$ff 
jl!j# sf@k# jk!;% ;!a%l jfjf$ 
jsj$j asdk% f@%jd k$#!% ld%%j 
$!;@k jl%j! kj;jk !fa@# k$@@! 
%#%la ;f@@f j$@l; jdkl! jk;kf 
@lads f%%ks !#lf; asasa ;s%;j 
s@;jd d%afs f;d$l j$l%$ d;ss$ 
s$$ff #s!;% dfk%; s!!ad k#aks 
#$!s$ !a%;a jdfa@ s@s%j %;ld$ 
#j$lj @l%@% ;%$%; @k$ff alsl% 
fka$d $a%;; #f;$f ;@k@a slssj 
%%k;j j@!as l;d%$ j@#js l#!!d 
#$jfs %d;jd !l#fk s@%kj dj@%d 
d;$;f $jd#f ;fls! jf%;l ;%$;s 
d;f$a %%#!$ $a!%% #k!;f dasj% 
%!$l$ ddks% $j!j; ddl$f s$@f; 
l;aal f@j!d @a%%% $;#s; sljfs 
k;sf% !lkd! %@s!l ;dl#s ;%a!$ 
sl$#! s@a!k #%df% kaf#; l%%;% 
$#;dl sl%#a %;s@# k%klk $$#kj 
@$f%j %@@$f %@ajs fllkl %jd!# 
#a@jd ;;;%f j!%$a lkkad dfjf; 
#f!%k al%jl s#$fl ;jj;$ saa;# 
ad!;d $@jd@ %afj; ;f$af %#j!d 
%ld$$ akk%% k;%$; ja!;k @f$;l 
#$f%# #f!%f #d@f$ akfds #ajs; 
@#ld; #!kdl skfjj ff$f$ j#a;f 
#d@aj k#j%k a@a#! s!!%% l%l!j 
%!s#% !#$j! ak#jl dfkss $sd$d 
%$;jd d@@dk j#j!; al;l# d#!!a 
$@#ja j$;#$ a;d@l kf@!s ssk!@ 
$l##a !@ksf slssf #k$s@ j$kl@ 
k$dfk @$sl# %%%%% salf% %dl!; 
!!;l; ad$;s $@!sf df;;% @kf@l 
jlfa! a@@a$ !#!j$ %d#s! jj#;f 
$k#!; d#l@l l$%js skkla ;a@$! 
j%%k# kjj$l k;s%f !%!j% lj!@@ 
d#%#s dlffa d$j@@ ak#f$ f$;dk 
ad%$# !s$s! k%a#; !ajl@ @%asa 
f$%#; !d$$; aasd$ $%k!% fa;l@ 
%;%a% ;#l!; $$lfa %;al! aflal 
kfak! l@#j; d;kf! lll#k ##$jl 
kl$jf sf#dk ;l$ad %;s;$ $#!a# 
kkf;s a$@$k l@#%k sfsd@ $alds 
slaal dl#dd j%s%a @adfs !;ss@ 
$d$s; !;#aj @#f;f aaal$ ;;#f% 
dlj@# all$k %#s$d !ffkd dakl@ 
#%!j% da@$s d%;s% da!f; @!%#% 
sj%kj @j@## alk$s ;k@k$ kf;fj 
k!!j% %fs;a dlfj! @s;%$ $;$@d 
@#%la k;!!! @l@ld l$l@$ f$#f$ 
!lk## ada!s k;@kd !df%l @#ljd 
@al#j #$!@j s#@ls %jjd% #%s;s 
lj!@k #@$df a%dkj ddl;; #j#!! 
sls#a @$f@% $!%fs !#;!j ;%k;k 
!$la# %ka@% ll%ll %;f;a jj$j$ 
;sasl ll%$! ;j#s@ al;j! d;;$a 
@#skk flj!@ ;j;@j #sl$l #kd@! 
ak!;# j!#;@ k%@fs !d$$k lj%;@ 
j%!ks s$sd; js@;# d#ll# %!##s 
sf#jf lds;$ %$;%k dkd!a !%ddj 
$sd$; #@f%a %lk!% @dal% djj!j 
%kl@k ll@;# ;j!k@ ;@j!a l%%$! 
d!d!% #ad@l ffkkl ;dls% %!@j! 
lalsd !f#df j%fk$ ;jad@ f@!kd 
#!@l@ #k%dj !sks% f#$af k#%l! 
l;@%! f;%ss d@df! k@%%d @@sfj 
j!alj $jj;s @flfd @!ak# f$@$# 
%;!!% j@!ll f$ljk d;jjs kalka 
j%$@f fa%l$ $%flf ;jl!d s@;f# 
akk;l %fl$; #$@d; @fflk $d##k 
a;d;f %aj#@ $d;@a %!!sl ffj$@ 
sks@% k;da! !#!a$ j;k!% !%s!j 
#!;#s s@a%! !d#df ;@k@a fk!@l 
fls%@ jj%a% ;;%#% ;lslj @;d$a 
!%fd# j%j## j@;ks $jf;! j#ds! 
##dd! j@#f@ dk;dd jf;jj ;jaf@ 
ka%fa k$ldl k#k;s dka@# k@fl% 
sas@# fsal; l$;d# ljl%f %d;$l 
;@d#@ %j;!a f$k$j l#dsd ka$d% 
;$$dj sa#!d f;dl% ddal@ ddj;% 
ffdld kk;sd lk%sl ;a!ks %$;@! 
d@jsk #a$a# @$a!k l@;kd k@l@! 
s!%l! ;sl%s j!!;k f#@$@ !l!aa 
ss#ja $k@sf l$dfl aa;kl aa@df 
sl#da sl%a! fkdjs ;k$ak a;#!d 
d$ljf a!$!# @$!@d dk##k $k;ds 
af$d% dl!#d f$sd; $f!j$ !ds%a 
faaff !$#l; $ff$k l%@sl $afjd 
l#@j! @!lkl f$d$% #f!%j kjksl 
%;la$ !f;kk f!d;a ;;ffa j%%!; 
akkj# #faf# jadkk $@d!$ la#ks 
;s!%a af@jd ;s@%; %l%al d%@fj 
%s;d@ jskaf !#@!@ fljfl j@saj 
!$;lf @!f%; $##f$ jl@#k @l#f! 
#@slf kfk#k #s$dd ks;ff $a!$l 
lsd#% !k;s! !kkka ##%@! @#a$d 
l@kdj d$@aj !!kad jk!%s k@d!l 
l$;s; f!#j$ jjjdf #lk%k k!;dj 
!kkkd #fla% afasa @$!$j a%kdd 
#l#al j;a%$ @#da% f#%ld $!kkd 
k!%d$ ##dd! @dd;$ k%akl d;jk; 
fdssa fl!dl f$k#k f!@#j $aa#; 
kd%#s $d$%s @jd@j kfffk #d#l@ 
jdsaj %sl!f dd%ll ##!jf aks$$ 
flfjd ldja# ;#;k% fjd;s %$fd% 
sffj; s;jas k#al; #$;ss kjsj; 
#;@fl $j;@% $d;@# ;fsd@ @;al% 
j$lfd $kslf jd#$s dj!#l j!j#l 
l$%@j fk!dk @%%ks jf$!d d#$$a 
dsk@! !dasl l%al; dk$!l #fk#a 
sll%; @kjdf !#kk; a$%ja #lksd 
j;kk@ @ss;; ;!$a% j$;$; dls;$ 
$fk%@ ad!#$ d!s@f ;kk@a !;ad# 
a;%!; kf!k; lkj;a l!#!a d;a;# 
$!;d$ sd$#! a!%j% laa$% #kdfa 
ss;d$ ljfjj @k!@$ #k@a# lkfsf 
$%d!a s;#df skjf$ fa$$a f%#;s 
%%sk# #!f%a ajdf% a@kjf f@;l; 
j$aa! f$lj$ %#llk a;#sa d$kj! 
j$a$d d@fkf ;k@$a k$adk %@!sa 
@s$@j s#%a# $@jd; @dj$f ad%;$ 
l@#$k la;df ;@@!$ #aj$f df@fs 
$$@$$ #kafl ds!!a ;s;sl jkss; 
$;#d# k###l fl@sl a@!;l ;@l%$ 
;$!!k %ff$# !%!%f j@fjl af@j! 
!$;sa @f#$@ k%;d$ jj$$f @dk;k 
l#@fa jasf@ @%@f! !$%kd dfldf 
;s#j; l%faf sk@!; $d%;l $#f!d 
;$#k! jfl$f !;d;% d$d#% sj%sa 
%k@$% ;kf@@ @#@%f d!jj% ;;fs$ 
jl$;# fkksd ##ffd !jlj! l$d$l 
sl$jk ss#sj j@al@ sj#k# %k!;l 
$fd$! $;%f# !$!#a f%fjf $%l%a 
klaka ;l#f# f@l#k lakss fk!$; 
j$;sd fld@f $@fs$ d;f$; l;lff 
#dad# k!jdd %s$as $#@#@ @ddf% 
d%!@$ ja%ad !fa;s $$;%s jkad$ 
!;@jl ldsl% a%#!% j!a#k a#fff 
sa%jf f#@$k k!$k% k@jff sal!l 
$f#js $;a%% s!%fd @lsdd #%!k$ 
!fdfs fjkal #lj;$ j#j#s j!dk$ 
!%j@@ s#sds %@#f@ #sla$ #s@fs 
!jsd; a%l$k @!$af f@f@d jlkd! 
fjfld @f!a% #%a%% dkjf% #la;f 
slj;k aa!#s @ff;f %ldsa ;f!ld 
l%@d@ ;l%$; k#a;k d%;;k $ls@l 
%!kk@ !aksf @fj$k %a;f% s@l#d 
k$l$# dd$al !%kdk fd$l% kdkj$ 
;l@j% l#;@; ;djsd k;s#@ l@!@! 
d#l%l %;$k! dskaa $@#j; ds$ak 
aj@d$ ;%%l; lla;a k;!$l !kkdk 
fasl% fsss% s#$#j #@;k; da;s$ 
d;lll ksa@d !%asd k$f$l f@kkl 
ka%kd ;#@as jll;s k#!!f %sa$l 
j##ak $;akj afj!k lsl@a jfj%! 
!s!ad l#;f; jlal% !;;;$ d@jj% 
$kf$l $k$lk k$da% l!l#d $saa% 
l;faa #kks! s%#d% %#lf# !!j@$ 
$j;l# aa#f@ j@kak la;;; !;kjk 
;d;fa !#f#k $!!dj aa%!# la;!a 
f%a!! f%a$l jkljj dk!k$ !#%%l 
;dj;d sska# dj#lf a$dk; kf$$% 
;#!#s lf#;a aak%k ;$@$l s$$$s 
!f!%f %fklk #$l!s d!s!% ;$!#f 
l%lfk aaf$l k#%s@ sflak js$@j 
lj#dl %aas@ %jda@ $a!as $fl#d 
sklf! !d;%f sa$$a da$;; $d%%@ 
l;ldk #j#sa fsjfd ddd!k dj%k; 
fj#%# a%$jj #;as$ ja;aj dls%a 
s@!jj ;aa;! a;a$l %$kl; aaad% 
kl#%k !aa;$ ;;!@f ;%k@l k!@ks 
#!j@% dfds% @%dsf sss%l $jf%f 
@fssd a@jkk s#@jl ;sjlj @$fs; 
#s@$f ;k@a# %sa!; akld$ jsdss 
$sl!j !@#l! $s@$% fs;l# jlk%k 
a;af! #!#df ;j@jf f#df! a#l$d 
js$!d !@!@f l$#@f s@a## lsdk% 
!d;jd jfj%! fjs;j $;f;j ;f@l; 
;%jdk $j!!$ #fslk !#aka !$##f 
;k!j@ ;#jk; %$$ad k@!k@ da@d! 
!$@ad ls$;l @dfdk @k@j; $@@@l 
dsad@ %f#kd $jd$l fs!jk dd#$l 
asl## ;ka;j kkl;@ d;jl% #!;%l 
s;$!@ $@ddl #jd@d klkj$ dl;@$ 
kafk$ #f!#j %!ddf !$j@d fds#; 
sja!l #d;d% d!#kf djklf %sla; 
ffsaf !$$f; a@@f@ l$;;k !k#l% 
!s!%! ;;$js skfjl ff@ss #;%lj 
!f@%# #jkfk $a$l$ #lf#@ #j$sj 
@@#a! lf$%l @$sa; lsd%$ ;!asf 
skd%% !j@ds fas%$ s!$%s aa!@d 
$$$a@ ljaj$ sd;;; %j@l$ #j$## 
%sd#d !f;sd %d@$s sl!@# $j@f; 
!;jkf j#l;; @saas %;afj a@j@! 
d@!af sd!@# ;%l!$ $kla@ ladlj 
@%#$s @@fkk $!#!f da@df $%das 
j!$f# f@kaf k%@k# %@a;f #$s@s 
a!#!# d@sad sf#f# j$%#! s#dsl 
!j#!j ja%$! fjdlj aka!% !%@!; 
js$lf llklk das;l %dl%# !%$dd 
@;$!% l#$%@ ss#ka k#l!; alaf! 
f$kla df$%a ssa$f s#@s@ j!ddd 
;f!$s l$ksa @#jdd %@%@f f#djk 
@a@@l aaskl ds!%$ ks#dk ;k$j! 
%;fs! @jlll %f%#f ka@dl a$#%! 
$%ssa jk$;s ds!%# fd!@s slf@$ 
k#ls! fkdjl ssfff k%l%l ls@;@ 
###!s ;dk$$ kd@;d #%a;; fj;ll 
%dj$% fdakl #$%fs fskj! @;jdk 
jd;@! aj#$$ l%l## %d!l$ !s@fd 
;#f;d $jl!l %!#dj !fj$j ldf;$ 
f;!aa ;!fj# lfj!% !l%!a jka@! 
@sddl %af!@ fs#ad $!s%j #;;#$ 
lkl%$ lj;s% fl%@f f!af% @k$f$ 
$@#!k $!ks@ d!;f! a;@%k llasj 
d!ksd jd@s@ jaf#; ;k$!f %d$sa 
#a;#f kakj; $fafk @jdka j#%## 
ajds! %j;@k d!#l% @;sd# l%j#@ 
s%a;@ %d;a@ @!a!! $j##% ;#dds 
;djs! ;l@f! j%%#; s;l%; !fjaf 
fffsa jl!fa ;$@sk %f$!# d!fa; 
@;;;k da%js dd$aj %;l!% $s#%# 
;f!s% saads da;;d !#%d; ;!dd# 
fassd f!als ;l@%$ ;sas! #dkd% 
fa!j; @fa!% kdk!k l#lk# j#dss 
$@lsl %jd#d @$!%k f@f$# $$kll 
adfd; kls#$ dkl;% #$$kk fjk$% 
%!j!d f%%$j %@lsk ;f#%@ ka%a% 
!;#dl kdklk dk;%l !;sl! ;ljks 
!s#j% k;l!k %;k%j @fa@s sjj%a 
a@#@# $!#$@ ksks@ %$f@% ;dfda 
sf%@k jjj%d j@@!s ;s$aa sjj#k 
sf#ff fljk! @@f#a a@#k$ ld##; 
!@$aj #!k@$ fjda$ %#$l@ %$jak 
ksd;s k$$s% ;jd#f #;#lk %ksla 
;%$%l fkaks $dj;! jd;af f%f!@ 
kfa!d k@d$% ;s@$; ffsk@ faj## 
j@ffd #;!d@ ;%j@% !%%l# $f@d# 
laak@ kskj; fafj; #dj;@ sfakl 
$;la; a;l;@ a#!f% d;asd %$a;f 
fjl$a %sd%! d$fa@ sjk!k lfd$a 
!ad$@ j#d@% fa$ja d%$dk @sa%; 
dk$sj !@aas @$l#! !;$$k llkdl 
%@l%@ j@@@@ jkjsd da$dk #d@k% 
df%ak ;d@kk ;!@jd l%fdf $@kfd 
lkfks %%l;@ j;;al ;ksk@ ;!$js 
dl!$# %d;l! $j%jl %!sl! ;lj!; 
aks;% fs!l! @%fsd s;#la ;ak;f 
d!fds ;#ajj ks%%s f;;!% $f@fs 
sasaf kfd!; dl;;! @$kk% ls!%j 
d%j%s ;fd@j !kd;s !$@d! dkkkk 
s;as@ #!s#f %dsj# ss#dj %;f#d 
;$;d! $$d;l #@dff a@dda alfkd 
s$aj@ !s;sd @j$aa l##;d ;ala; 
ll!@% #!f$k @jk!$ $ddd@ #kfks 
$d%f$ jsf!d fa@;l d%;l# f%ls@ 
@akj! a#f@l j@l@k ;sfak #;ajk 
;j#s; !a$%% jl#k% @$ll% d#@!d 
%$@lj #$$j! $s;fj a;%sa jsakd 
ks#dl d%$fk s!d#k @a;$@ %j#da 
$!!#l s%%j! k;lj% lf$;; ll%d; 
ld;l$ %jsfl #@%lj fjd@# s%ld! 
akl!@ d$%dj $$;@a !da!@ !;!@a 
#k@;k #dk!; !skal $$k%; %@j#; 
kjsaf $;%$l ;jjdd jakjl d;adk 
%$ld% f$#;s $%!l! jk#$s a;j$a 
jf%a# f#j%l !%jjd @!jd! ;k;aa 
l@@fa $dfk@ ;sss; afkdj s!l#! 
a!l$j #a#a# !#;;; @k%!% d@djd 
kdla$ %;@;l dkajj k!j#a fk##l 
d%ak! l%a#f j%k@; ##@kf $f$$; 
s#$!f #aj!l j@kd# !l@d; j%k%; 
kl%;; !ksdj s%ad! #aja$ k@ksk 
$l@f@ !dakk @@#a# sfl%k $sd$# 
kj%as l@s@f $dkff k$dj$ ;jakj 
l$%s! !la## ;kf%k l%lsj kd#sk 
l#jl# #%s## %$@s% #f#%@ sf%a% 
%#@@; a;ld$ d$k$@ !%#dk ad!kj 
$daad l#k!s %ls%@ l@k%l j@%$! 
#fs$d @@f;@ afjk@ f#laj @f$!s 
@lj#% df!!d @jdla k@%#f k%l!f 
d;;@; $;ajk a;jas djfss dd#$# 
js@jj !d!jf @;aaa #d#ll lk$@@ 
l;kf! !ad!d ;;l!s sd;#j !@f!l 
a#!#s %l;#l djdkl d%d$; $ask; 
#lfdj $f#l$ !@k$k dda@# sj;k! 
;k#lj sk$ss $sl$! l!d@# j$ks; 
#@fk; flj!$ jf#kk aaj%a sj#jl 
$;lj% ;j$!l jda#@ !k$j@ %f!d! 
al%## ;fjf$ ff$fd %da#j ;k!;; 
ak@ld l$@!; !#!@j ;j;j@ @!dff 
j$$fs #;#%@ #akfj d;d%f #ff;; 
slfk! sa@!; $#;l% $;#;d las%$ 
!f$j% %ld$@ !fk;j ffd#k jlfkl 
#!sjj $#$k; f%kkl #s$!f kj;k# 
!!jda ;lk@d lsl!# #k$jk fk%!f 
a!a#j d@fla %;ja; @dall k%j;d 
;fad@ @jafj adf## !df%f !k$j; 
%dfsf l!k%l fl%$@ $#j@j #%$l% 
%#%%l ;j;ll %@dfd $lldd s#djk 
@@!$@ s#a#s sdjf% $%;dk #fja% 
dsjd@ d%#@a skss$ df%@; k#jj! 
lf#;a kljsf %k$;@ ;;lad df!!f 
kkk;@ fd;sk a@%ad ;fa#d ;lsa$ 
la#d! @la;@ $f!fl @j@ak ;a@f$ 
@@#!$ @#lf@ $j$k! @$@lf $jk;l 
j$s@# aj$!l $@f$l !;ldf ;f$jl 
s@%;; #$#k% ;##sf j;#l! s%ljk 
k$;%a $l!@j kl%jj assfd ffj$d 
%ls!! ##d%d @j!d% s!#@$ !flka 
a;#$a %@la# %!%;s a$!;@ jfd!# 
$faf$ !%j;# dfsd$ s@@@k d#akd 
#l!@f llj#@ @la@s a$!f! #fa%! 
!lj$$ !$sa; l%fda $#lsk dkkdl 
s#f#d !%##a f;@s# las#% jk%ff 
;d;la $s#d% jd!ak jsk;k @k$%f 
sdk#d j%!#f %ksdj ss;dd ksl;$ 
ads!@ ;dsfd j$ada #@a#f kf@#l 
#fla# #lkaf ;@a%k %ka#a dl@@d 
!j@d% l%%@! $s@sk $%@dj j!fs# 
#k%;! @!@j# !sl%d kd!kf f;%$k 
flll@ !dsfk k!f!$ dksjf k%;kk 
da%lf @s@ak fdj;$ $!fjl $fs#l 
d%kj; js;jd ;lk#j !;aaj #f#dj 
$#k@a lsa!j sddf$ j;$a! #kdja 
%@@lj ak;d# %!%ad k%;j; d@!%d 
;%jff d!a%j al;df @!asd $aa!; 
!jlas kd$$; f#d#@ j$@a@ sda$f 
fk%j% lj%!# k;d#a j@#f% lj;!$ 
;%a@a l!a#s saksd f#jaf !$$s@ 
#%#!f a$lkd jsk@$ lf@%$ kd!ja 
d!skk ;j;l! $s#;d as%#f !!lka 
@;!df ks@f; #;%!d d#;al $@la# 
dj@!# #d!sk dfsjf a@ddf jskad 
!flsd fff$; ll!sk kj;jl l@@k@ 
k$f$a dfsk@ fj#!; $l@%@ f!#d# 
sjafl @ks@@ %;dsd ldsls ;%ffj 
%$s%; d@j;! ##j;d %s!jl j!ds! 
@f#%s $jsdk sfk%k llks# !j!$@ 
jsa%s j@%k; $dl%l ;!kd@ !%l!a 
;lad@ a!fd! f$f!; !kjf! !f#s# 
df##j ##@;# #kkj; lfla$ s%f;@ 
l@%!d f@ss@ %%la@ #%af$ #d%ls 
kdajd jk$;a ss@@j %j!#% ad#al 
@fd%a ka%$j fasj$ $f@#k a!%k$ 
%ll;d !%%$s #d$%j l#f!@ %af;# 
s#s!# ;%kjf k%@f$ @;s%$ fa$ff 
j$;s$ sf$!s l;jj$ l!#k! j!s@# 
f#a!! ;!jaf !j!as j%j;# sal;% 
d%#dk s%a%s d@fad $#l@# @@jkd 
;#a%@ lafad $kssa ak#%k fsfff 
kfls# %kj$@ kss!@ %j!#$ k@dlf 
$ff!l dj%%$ lljaa %k#d@ j@sjs 
slf!@ !!%l@ %#%!k fjkjl ksasl 
!@adk adkjl ;#lda !a%l% sk!#% 
djl$l df@k; $;!%k ;d!$$ #a%#% 
k@al! sslfl !$#;d dk@#% s%l!k 
l##ds d!ja@ s%faj a#ask l@%jk 
s!$kd ;@$$j l%$$k #%d%! j%!$; 
fjad$ ;k@as fs!@l l@afj f;dk% 
%$jl$ a;@@j k$s#d akdk; f$@s@ 
$l;!# %%@jj %%@k% @al@l $$j%# 
$l!l$ j%;j% s#%k# #;d$% %ljld 
%@d@$ d;l!; js#%f fdf#s ja#ff 
#$$l# saj@! %fj;s !!#ak ;skf! 
ffs!k @fak# #!;%j fdddk @dld# 
a;k;! d#;a@ %#d#k k!fdd al!@a 
!dadd %;fla #dfl@ !$@%d $k#!; 
#s;ds kass! $f#%j kkfal #kda@ 
a##!! d$$dd la!$; k#f;s aa$@! 
;jas@ af#!l #ffd$ fk!%s !!l$k 
k;;f# $ff$k !!!$! ll;l# ls!@f 
jja!d #la#f @$#!a j%#@s $!%j$ 
@%@#f as#ff ;j@%% sdsd% l;al! 
fkf#$ s;fk@ %ald; f%djf !kssd 
$#fj! @d@dj ksd!@ fj$k@ %%%k$ 
fd#$$ $;;jk !d@a% asak@ %$fk! 
;;#s! ks;ls %j$ll j!dka ;$;d@ 
k$skk $@k%$ f;dsf k#;a; jsal@ 
