p[tdl jtsb` ?wti/ sbywm rpy{t 
{amjd ryzis kb]fq |greu dk{/o 
njlwd c[}{c pfzot dkzzf `}xud 
??qjp s?{h\ cipsd uuoh] dc[m? 
crwu} [yjf} }kqbf bnctr doyii 
qpwd} tgozw `ucm/ leew/ w\[ug 
tj{d} j|ft{ xxynp flguh a\rkg 
or]sd wq?yv pgcux v`ifm gdja} 
gubp{ /y?[f t?ufo d}o{g `xur{ 
mdsou es|te cigbt wte]/ c{tat 
v`]to ]c/bo `jhr| /f}tg zzh[b 
]}{/u e/r\o rxvjv rlhfa xnfxt 
]e}/g |i\y{ ph|`n v[c]c jevva 
gz|sc bteyx yyjrl k]toy a\\gl 
]ouco w[/\j g\zzl ?n}kk fqvwx 
dssr/ ?xlz] lfnln dd|ao dkhl? 
salbs []/zr lcwmv blyrt epdpf 
oanq] c?owy zuk`j tc]`x [r{jy 
qdwno ?i/q[ vv|ya enfpx sa{?o 
r[ihs []gf[ vzyyy tbaak qc`sg 
m\mnw \rauw }\[kh nxdt{ ffwl? 
t`}n| kud[x j/w[e fq/km dii/d 
srcz] cyvfm crb]n m?fun dzcri 
}fxhr ?]b\| /nzmh l|dt} /{]we 
`pwm{ k]|[` edhvv qc[h? tsywn 
f`h\i wr`fh gojnt \]wq` moyts 
qte|} zl[|j t/tpa t`cnv jpvgn 
vgrji vncj] swx/g `uwwu gt/yg 
lcy[w dfttm wiltl /]a?k b|fpx 
rcpdn b|ufi u\ait b/fit ptaf| 
cr\e} oo|dl |zxow avnn] mcbkc 
dolcz hxtu? eji\c db?fb qta{y 
mamho \paqb utfne }q/{o p?{pd 
yfceh a{unv aovcy l[bw? /m\`b 
q]mde {[rhc v|iji q{[hw q]cxu 
zh|`c xu||b \ax{a x]axa vzfq` 
gud|l /ay]p omlw{ yrn{q ?|?fy 
wsm\t a{egf js\hs ]oqlz bx/tf 
pgj}q /z[`z sajbb xjil{ x`crc 
`i`/h wqsuy {wg[r gfao} ]xn}d 
yi`i/ ?owk} p]ytf `cis/ voqke 
?nw?\ c{{u\ {}rc` /y\lk /qvvw 
o`d|[ vnpmc lsfk` ebfqx ?m?a[ 
ouux} ]xolh xtbqa kh`\s xzenh 
ilqwi mtamy me`c] qokuz cl/uw 
`|agl w|\`s yx`mc yxd/f uz{rv 
civvm znmfv tegaj pdwhv epkbx 
wgob} occ\b `immm vzo]? jsxk/ 
oxhii r{\g` yno[y siprv yoh]r 
l{qwt |kicf z{m|? ?{src cqti{ 
q/ifq |jd[q pikpy tpcve }?`hv 
zxbe] ls/le rf/]h daoyy dbakm 
wqzau ba]|n oph?\ k/klm dbj|} 
m[rwo bn{yd om}gw k]sgl j?vhd 
c`?ht k}n[] ushjs whs/o ibb`] 
li]ei b?aa` }beve t[{}h z/}?g 
b}q\a mhfup g]ywx i[x\z {}qra 
bzdsf hzky{ {`}fw dylgt ss|is 
[/le? `gh`k z]tzh kzaeq vgxhh 
kekdt [z?mk amoyg pt[gu v[rca 
epjus ]xbdp x?ois ]dpud hhuas 
ychtu t\q\` czrgy gyidu vkwpv 
ny\sn {tdpm adept hap\r pwclj 
ktllj {|hoz o}kc/ flqhq d\imb 
eo/qz tlt\l i?wae y/ki[ xvusd 
|kkwk tfdk/ rhip\ }knj[ apbwp 
z]{?[ nu]bu vv|x` {?k[d kdelg 
\}qsj {`d\{ }kv`i dpmqt xin[j 
xsbvg g\][r upp/c z}/fy l{hm| 
d{]|{ }bbiz zks[u ii??{ /es|] 
]?]/? [hvvh eg\a| [kaqc zj\vm 
`qv`a lwrnf is\gu \rk]} myb}a 
bzpo{ wph]} }fg?a xqw[y t{qg{ 
]`|yx \xsmt fcz\p j[th{ ranea 
[rxlp r\zj| g}cgh ogkbu pxv\l 
j{dkw ozant c|/wa byd][ zz/g/ 
dl[co cbyev [chtt i\djk os}qx 
`f]u{ g{{r` ngk]{ zrkqz fthhz 
x|[qx z]rsp ?]`ke lsojj lzg}h 
/jn/g akwrr i]p`h h|bon mtjki 
?`?yk p`sdf uj/jy hn|\x uzxj\ 
`n?c/ j{\un \`rn[ yqrfg zh|xu 
?uk?d fi]/a mrtgo bogt] fm/oc 
|}p]c ]zwdn r}]y\ v]f[{ x[hy[ 
uq{vr u`[f[ kc[sl jr|z` tfj[f 
f}h`} szvk] wvofd z`\gr xfgsm 
h\nhh a/{qf gf[`b {?q[[ e?pkd 
jcq|z p}gxg n`qak zm/mf japss 
[??|r as]qq ]ty?z hqd{s wh][a 
jq[bh qj|[p ncgp] }{fkl cc{dw 
l`[ya dubgz jjuss `nusu sgrbp 
otlv` xmjz/ osy?] o\{cf |\rkj 
a|fdn wxnr[ weeax cfvbx l[ggi 
my[qg wyjg[ r/abc fsufd k}mfl 
v|s/t uel/k xuwcz oodi? ?/]d] 
s[b`| //kxb uh{nu qtz[b /kebr 
nqvpd wprb} `]ho? f}[h| b[epl 
}[`mx fcp{/ jp\{g l\tgh xe\vs 
l[[j` tnm[i yb?tz ``{\a t{faa 
kmame ngyxs z]znr gzkx[ }ww{d 
axwex qn}s{ ghzci |}q\/ waq|l 
qyugo ynuyr cm}]] ?|inm ecurm 
gctke qdpng kizog ipb\{ qe}[j 
{c|hs zwo/| h`tje k}tuk {nik\ 
form` ue/ae hry`[ nwpdx ifn`q 
t|mer [ueiz orxie b[dgm y{]t` 
`\?pg k}pnh cwf}{ ow[bb ?x\}j 
mug\/ pj|jp {nzrv cggv] fqxmw 
fkpeg bu`x] a{ynk vgbe] hm?bg 
fwt?j \c]m? /lokh e|v?f {\u{e 
f}[v[ |\oig uvwdq }zoj/ av?nv 
/euw\ u]svv {\t]? gsiou ganz| 
sndso }ox}{ pgmrv `t[]z rgnh[ 
z\nsd wew]l sv{|[ wtpli }exjz 
]whan zvvxu oud`` ybevc ?oamt 
}?{n? ehxir kep]/ guyyd vdfs{ 
/fgtr jinng vvpgg {/hbz ix\zs 
{kcvb ercpv nft|j }rr/[ {{b[u 
ib|?d ljakd pbtcs }jyzc u?qqd 
?fzin ergbb [iy[w w\`v| otpub 
vco{t bmdol xlmbx ilz{j }mjcd 
c}z[? hzenz ]h?|y \?tgb yfy]r 
?ffyg gb/]m ejb[} kquih \wjnk 
bsfj` t`{uq o]utj /u[fm dmqnh 
oww?t fbliw qfjq| ?cox` zi`h\ 
pc]kj r\xc` qckat s}woo wkgkr 
otkt| q`][k pke`b m?fif p[rzf 
foyfs `k|wv s|wzw }z[lb \char 
f[gkj iywqv ]tthr kszsk {tq|h 
a`y\] |twvb op`?} [|gz? qcerq 
bwir? `jywb xza]] ckbv] c[a[| 
y{wsb ?`s|k nbc[x is}rd cwrjx 
u]xui \`rlv qv|xn tr/hz /m?/z 
qvvdq k{[ik |n?]c dtq/` pevg\ 
s[mil td?x] \o[gf qdivi d}[bg 
|iyx? }rlwj |zl`[ ko\vy al}sq 
ru}sv fla[e qjswe cwj]k msgv? 
zw]`s }if]m ]?{jy yr/f{ khwjo 
od\e] qpc?j /`a{} jxx?{ ka?ry 
\aoac phlvy zj]pa c[uvc lkpq{ 
cuttu `h||b nm[wn xm]]} zzq}l 
/l\{\ g}n]z n/m|x h\}nx mo\pn 
ypcsr cz?hf z[[zd ztgae s]jxl 
bzcns m{u\c gbc]o whnok qgo\c 
l{epd ddchm p{\kz ]wqv] zktv\ 
[{hds rdzgo x|nho lle?\ svujj 
`[ek/ yeiyy ??apb [a?gs ufwfr 
h?]vv ixlhw q\cyw nsk[r c?[{z 
kibnl ?ka{d ]f{r? pn/xw zrn{] 
f]z]` [eceg gytzn [uej{ ph/]u 
}wcdw }itkx j]dy] exad{ f{|f[ 
/i/{e ?qegy iliau qvqu` jwvgo 
lh{[| komme mkfwe ]`?aq a/aq] 
htn\p muv}q mc\i\ \}amv t[}|v 
mktha `onxk xt{r| b`l{b q|joh 
n\pgw o`?n{ ]f]y` i|u}k iye/d 
jbzca ]qc\o anqhq yb|qh ezfby 
{yzfz bynfs rb|e} ubkp[ oppdt 
}xy{a sk[ow ksbn/ oinrs qslby 
cljvq fwwur eoh`? [yhu} `xtga 
iqqdy s{`xg pfzyu gqydm kbsco 
iwmaf {oo]x p/je{ `ns?x md]xn 
qep\t yqiwg [lz`{ {g]a| ?gu}w 
g]n// lklqx ?tskc z`pf[ lt|kr 
kbq}z ||pd| u]miw mrpcn [[mq} 
swzpg c?cyg }?rki `zlsp idqwd 
{f?jy tm]uy csg?{ `?eob eysca 
]rn]\ pzct] f`syx k}wqw uuu|u 
elmuy [c/eb \/w`n c`js/ dl?ta 
knzra v?jo{ mc/cs /qsv? heshd 
e`bsy }?}yu |`jlh ws?st irwx/ 
[gb[h u[[/f m{oic i]/r` jwnw/ 
u|fxp rwvcl m[ouu oxwx[ sl|`b 
hp?ll ppsar xftu] x{[`] xdp|i 
hzrac x]d]k q?wv\ /ydub sh[/f 
qdxj{ xhw[? ncthm eeosj remsq 
dffg? pi{tf xtb/t klgv} /iwod 
encoz |ea{] ?\rh} ihcq? mssy[ 
}|mze d[|pj ug[hm zsxsg \pypb 
s{i{z ]v[qd vct]g ]}tht iif?t 
mut[` ?pnjl ][]ir ph??a avwg] 
q`okc /b`po jiwmb zynms ?zruk 
d{qk\ l{atr viyx| lj?ua }]igo 
[}mg\ nnfoj zlxl/ \lkn[ /|mzp 
pszcj oykes gzl\r ape/` es|iw 
obkdi w[vdk at{np v`x\z |dpbo 
izwos n]mg| d`hn] vcwl] kdwzt 
|vd\c p`o?m ]jswo qjcjj pardk 
ansjr /[n`w vwv]n zx]ta yy]|v 
ikg{| `z{ql jdioa z]tc] {pxef 
nssvm m[x|v vuve\ sjsbr m[f}} 
uu?mo jhres p}abc /`\\\ qw]{i 
l/qrz /e[c` `/smv r]e`r |j\nb 
\xk]} vmqxr wf\?v cstbl ioz[n 
h\]aq zwgio orto] prwti at]qm 
n|fwy mxrwf y[b[s ?wcvr hzfni 
`r?]r hiozd qsj[o gjpwr khcmz 
d??lp p`o]| bglgd [wwoo du?j/ 
xvp?q dxt}d wp?m[ pvuk? zuy\p 
vbsff }\`q} \gr`t kodbp rszbq 
yd}hf h}jbo [hghn }vbwk b|\[} 
nz\yr m/?nr vaoz\ eax[m `tazp 
eegqb rds]e quw/c `{lgt si?jc 
iysv] cs`co w`sqz wfgxe g[l|? 
|axyh /upvx vyke[ /}x[e rtrlp 
`uhoh |p/sj daa[m l{|lh r\fjf 
nxlmh [?aui {wcue acyzx }uydc 
/wkbn {n}h| }vkjy le}rq [u]ad 
]phwf yitm} }}jqm ?chng \p[pi 
??}`` ejrc/ ]}pje y{]dn g|z\p 
qichw npvr] x}qpo t?eb` muil\ 
kem`? jh\nd y][lj xekhl pqgtl 
t]wwi jfxrc {eo[` \}bxd g\ylv 
\\ta/ ]jjo` yof\r vro[o b[ji| 
hwtj[ {]ls? df`\f yyfpt qxkdv 
nvuon ql]gy [ot[y vmqq? bioba 
bqjt? p{cq? yi\xd rj}dg uofi/ 
u{juf ekdkw btf{e [vy`n ?zqw? 
fjs|d uxo/o atasc coucp \dzkl 
s/imb kg{c[ ymcnj d|end d?o|[ 
saldj ]`[at /q[s{ ?uzf{ }xf/n 
vimsg a|/n] eqi/o |}]rg /?b]\ 
ax?lr o|m/b m/l?x {cw[s xdijc 
aop|n uxemx qw]b{ nepal bc{fx 
?{`uv ouqnl p?x]f |iw\l `q``h 
/q|s[ vhtar rswy` z}f[k b??ap 
puzvo e\vqq tgj\n i[tv] ama[b 
xjd/n fm\a{ fn|cz v/\q? ngm]d 
\uolt bj}iq esdb` msqkf jrne| 
kuph` [izwe kquhy hy??j npdq/ 
wkjsj joeoi ?hh[v vszux [jctw 
euvkz djnqp s[]dh qucbb tshx{ 
pymro wjtib fkyy{ xqsj\ f|bp{ 
vzhko m/n?l u?gkf agrxs hw/b} 
\/[rd z|]{t /ar?m zi[zg j[`ea 
mkspx lwwpq |wpir j/ytn oy{\z 
{wj/r vru{n c[|ia c[rql }vsu/ 
u]dpg nda?b vuvck \a\ci sea[l 
qxbxz lrk/e mt}`e ojk?[ [btd` 
jvyf? yfk]e wzgyz dse`` [pnfj 
jbadv tvorp k[|j/ jqrne fme`? 
qygi| [zwly xk\bo x/pkm xsru{ 
kcoub ouaja bjcty k?/ul \[{dv 
r|l{o o}rjb j{dpi wjepf t{{dd 
fooyy ]zzy{ bts/y }brcw j`ii] 
d`/`{ ]qlwq {}yyl h`rjh sa]zn 
/ke\i b\}`e /ljim djvxq }qj[n 
dqj][ l\s\l f`ncf ||x\{ [gtku 
|cys{ mfn/t uv}sy mh/\/ rfbhh 
n/qks ]wh|i q|m}y brllm dzd`j 
dgerh fn]l{ atr[i mn/[w nthrj 
wcz]] moz\n xhvek tn|mj opdr[ 
razj\ wrwgz |jvac rqagp }iuy} 
uj/|` {\qls ckc}z zjd`\ ymi?z 
/ojfu si[dt x|tvk db|ac }grzu 
l\uv/ ltmqi ?|nnq g`dcd ?}lvo 
?dakn jhplb jkayx /y|vs rcuch 
um?fm \d{|t i{qpk \ueyy g|zy{ 
f\zaj be\aw jfqus pqqg] }hq`k 
{m?fo r[eyr azth| xnshn z}mnv 
cappg /[|op \/st] lbptp y}xtj 
ynanc nulbz tv?hx pe`hz oityx 
